release_year,worldwide_sales,previous_year_sales,YoY_change
1977,2.5,NULL,0
1978,2.4,2.5,-0.1
1979,0.3,2.4,-2.1
1980,2.3,0.3,2
1981,7.7,2.3,5.4
1982,29,7.7,21.3
1983,22.7,29,-6.3
1984,4.8,22.7,-17.9
1985,2.2,4.8,-2.6
1986,10.4,2.2,8.2
1987,5.6,10.4,-4.8
1988,8.7,5.6,3.1
1989,9.1,8.7,0.4
1990,9.1,9.1,0
1991,6,9.1,-3.1
1992,9.4,6,3.4
1993,20.2,9.4,10.8
1994,36.9,20.2,16.7
1995,53,36.9,16.1
1996,101.4,53,48.4
1997,105.9,101.4,4.5
1998,132.2,105.9,26.3
1999,169.6,132.2,37.4
2000,171.1,169.6,1.5
2001,226.8,171.1,55.7
2002,314.5,226.8,87.7
2003,300.9,314.5,-13.6
2004,284.7,300.9,-16.2
2005,313.5,284.7,28.8
2006,244.4,313.5,-69.1
2007,436.4,244.4,192
2008,538.1,436.4,101.7
2009,495.4,538.1,-42.7
2010,454,495.4,-41.4
2011,440.3,454,-13.7
2012,285.5,440.3,-154.8
2013,266,285.5,-19.5
2014,292.1,266,26.1
2015,230.5,292.1,-61.6
2016,208,230.5,-22.5
2017,192,208,-16
2018,148,192,-44
2019,2.5,148,-145.5
2020,3.5,2.5,1
