console,genre,total_game_genre,game_percentage,console_segment
C128,Adventure,1,100,Specialized
TG16,Misc,3,100,Specialized
FDS,Action,1,100,Specialized
BBCM,Misc,1,100,Specialized
Aco,Misc,1,100,Specialized
DSi,Misc,73,96.05,Specialized
BRW,Misc,59,93.65,Specialized
C64,Misc,31,91.18,Specialized
MSD,Misc,20,74.07,Specialized
ZXS,Misc,13,68.42,Specialized
FMT,Misc,2,66.67,Specialized
S32X,Shooter,2,66.67,Specialized
CD32,Misc,2,66.67,Specialized
ApII,Misc,4,66.67,Specialized
Mob,Misc,13,65,Specialized
And,Misc,682,64.89,Specialized
AST,Misc,11,64.71,Specialized
WinP,Misc,44,62.86,Specialized
2600,Action,302,60.28,Specialized
Ouya,Misc,15,60,Specialized
Arc,Misc,29,55.77,Specialized
MSX,Misc,5,55.56,Specialized
OSX,Misc,370,54.98,Specialized
Amig,Misc,16,53.33,Specialized
CDi,Action-Adventure,3,50,Generalist
NG,Fighting,78,45.35,Generalist
Lynx,Action,40,44.94,Generalist
Linux,Misc,163,44.05,Generalist
DSiW,Misc,274,36.39,Generalist
5200,Action,26,35.62,Generalist
7800,Action,21,35.59,Generalist
S32X,Action,1,33.33,Genre-Diverse
FMT,Shooter,1,33.33,Genre-Diverse
CD32,Board Game,1,33.33,Genre-Diverse
3DS,Misc,382,32.05,Genre-Diverse
VB,Sports,7,31.82,Genre-Diverse
ACPC,Action,6,30,Genre-Diverse
3DO,Misc,88,28.85,Genre-Diverse
5200,Shooter,20,27.4,Genre-Diverse
PCFX,Misc,18,26.87,Genre-Diverse
ZXS,Action,5,26.32,Genre-Diverse
CV,Action,12,26.09,Genre-Diverse
DS,Misc,853,25.94,Genre-Diverse
MS,Platform,86,25.6,Genre-Diverse
GBC,Adventure,4,25,Genre-Diverse
N64,Sports,98,24.94,Genre-Diverse
WS,Role-Playing,49,24.62,Genre-Diverse
PCFX,Adventure,16,23.88,Genre-Diverse
iQue,Racing,4,23.53,Genre-Diverse
DSiW,Puzzle,176,23.37,Genre-Diverse
Wii,Misc,383,22.85,Genre-Diverse
WW,Puzzle,106,22.8,Genre-Diverse
VB,Shooter,5,22.73,Genre-Diverse
Int,Shooter,30,22.39,Genre-Diverse
MSX,Shooter,2,22.22,Genre-Diverse
WiiU,Misc,123,22.2,Genre-Diverse
GG,Platform,73,21.99,Genre-Diverse
WiiU,Action,121,21.84,Genre-Diverse
DC,Adventure,140,21.37,Genre-Diverse
PCE,Shooter,98,21.35,Genre-Diverse
VC,Platform,140,21.18,Genre-Diverse
XB,Sports,207,21.08,Genre-Diverse
GEN,Sports,169,21.02,Genre-Diverse
