title,na_sales,jp_sales,pal_sales,other_sales,total_title,popular_title,flop_title
NFL Xtreme,0.379999995231628,NULL,0.259999990463257,0.0500000007450581,1,North America,Other Region
Kirarin * Revolution: Atsumete,NULL,0.00999999977648258,NULL,NULL,1,Japan,Other Region
NORTH,NULL,NULL,NULL,NULL,4,Other Region,Other Region
Black Panther: Yakuza New Chap,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Restaurant Story,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Tiny Toon Adventures: Buster a,NULL,NULL,NULL,NULL,1,Other Region,Other Region
KAITEN PATISSIER,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Destrega,0.0399999991059303,NULL,0.0299999993294477,0,2,North America,Other Region
Out of Line,NULL,NULL,NULL,NULL,3,Other Region,Other Region
Tanjou Debut for WonderSwan,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Cold War,0.0199999995529652,NULL,0.00999999977648258,0,2,North America,Other Region
Flower Shop: Winter In Fairbro,NULL,NULL,NULL,NULL,3,Other Region,Other Region
Jewel Mania,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Doraemon: Nobita no Uchuu Eiyu,NULL,0.0700000002980232,NULL,NULL,1,Japan,Other Region
"Yattaman DS 2: BikkuriDokkiri ",NULL,0.00999999977648258,NULL,NULL,1,Japan,Other Region
Wallace & Gromit's Grand Adven,NULL,NULL,NULL,NULL,8,Other Region,Other Region
Fatal Fury: The Battle of Fury,NULL,NULL,NULL,NULL,1,Other Region,Other Region
3-bun Tenkatouitsu: Harumon Se,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Final Fantasy IV: The After Ye,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Ys Online: The Call of Solum,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Dear Boys,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Ways to the Woods,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Paper Mario: The Origami King,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Bomberman Ultra: Battlefest,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Ultimate Qix,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Dragon Age II: The Black Empor,NULL,NULL,NULL,NULL,3,Other Region,Other Region
Umineko no Naku Koro ni San: S,NULL,0.0199999995529652,NULL,NULL,1,Japan,Other Region
Star Blitz,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Zooo,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Tap Heroes,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Bratz: Super Babyz,0.259999990463257,NULL,0,0.0199999995529652,2,North America,Europe and Africa
Ray Tracers,0.0399999991059303,NULL,0.0199999995529652,0,2,North America,Other Region
Disciples III: Resurrection,0.00999999977648258,NULL,0,0,1,North America,Europe and Africa
way to the woods,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Cosmic Fantasy Visual Shuu,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Legend of Dungeon,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Borderlands Legendary Collecti,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Ninku 2: Tenkuuryuu e no Michi,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Rocket Knight Adventures,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Tin Star,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Sid Meier's Railroad Tycoon De,NULL,NULL,NULL,NULL,1,Other Region,Other Region
"Dragon Quest Builders: Revive ",0.189999997615814,0.749999992549419,0.240000002086163,0.0699999984353781,4,Japan,Other Region
The Da Vinci Code,0.099999999627471,NULL,0.0600000005215406,0.0199999995529652,3,North America,Other Region
"Duke Grabowski, Mighty Swashbu",NULL,NULL,NULL,NULL,3,Other Region,Other Region
War of the Fallen,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Shrek Smash n' Crash Racing,0.179999999701977,NULL,0.0299999993294477,0.00999999977648258,5,North America,Other Region
Wizardry Twin Pack,NULL,0.0199999995529652,NULL,NULL,1,Japan,Other Region
